oldnames,newnames
fBodyAccJerk-mean()-Y,summary.mean...frequency.bodyaccelerometer.jerk.mean...y
fBodyAccJerk-mean()-Z,summary.mean...frequency.bodyaccelerometer.jerk.mean...z
fBodyAccJerk-meanFreq()-X,summary.mean...frequency.bodyaccelerometer.jerk.meanfreq...x
fBodyAccJerk-meanFreq()-Y,summary.mean...frequency.bodyaccelerometer.jerk.meanfreq...y
fBodyAccJerk-meanFreq()-Z,summary.mean...frequency.bodyaccelerometer.jerk.meanfreq...z
fBodyGyro-mean()-X,summary.mean...frequency.bodygyroscope..mean...x
fBodyGyro-mean()-Y,summary.mean...frequency.bodygyroscope..mean...y
fBodyGyro-mean()-Z,summary.mean...frequency.bodygyroscope..mean...z
fBodyGyro-meanFreq()-X,summary.mean...frequency.bodygyroscope..meanfreq...x
fBodyGyro-meanFreq()-Y,summary.mean...frequency.bodygyroscope..meanfreq...y
fBodyGyro-meanFreq()-Z,summary.mean...frequency.bodygyroscope..meanfreq...z
fBodyAccMag-mean(),summary.mean...frequency.bodyaccelerometer.magnitude..mean..
fBodyAccMag-meanFreq(),summary.mean...frequency.bodyaccelerometer.magnitude..meanfreq..
fBodyBodyAccJerkMag-mean(),summary.mean...frequency.bodyaccelerometer.jerkmagnitude..mean..
fBodyBodyAccJerkMag-meanFreq(),summary.mean...frequency.bodyaccelerometer.jerkmagnitude..meanfreq..
fBodyBodyGyroMag-mean(),summary.mean...frequency.bodygyroscope.magnitude..mean..
fBodyBodyGyroMag-meanFreq(),summary.mean...frequency.bodygyroscope.magnitude..meanfreq..
fBodyBodyGyroJerkMag-mean(),summary.mean...frequency.bodygyroscope.jerkmagnitude..mean..
fBodyBodyGyroJerkMag-meanFreq(),summary.mean...frequency.bodygyroscope.jerkmagnitude..meanfreq..
"angle(tBodyAccMean,gravity)",summary.mean...angle.tbodyaccelerometer.mean.gravity.
"angle(tBodyAccJerkMean),gravityMean)",summary.mean...angle.tbodyaccelerometer.jerkmean..gravitymean.
"angle(tBodyGyroMean,gravityMean)",summary.mean...angle.tbodygyroscope.mean.gravitymean.
"angle(tBodyGyroJerkMean,gravityMean)",summary.mean...angle.tbodygyroscope.jerkmean.gravitymean.
"angle(X,gravityMean)",summary.mean...angle.x.gravitymean.
"angle(Y,gravityMean)",summary.mean...angle.y.gravitymean.
"angle(Z,gravityMean)",summary.mean...angle.z.gravitymean.
tBodyAcc-std()-X,summary.mean...time.bodyaccelerometer..std...x
tBodyAcc-std()-Y,summary.mean...time.bodyaccelerometer..std...y
tBodyAcc-std()-Z,summary.mean...time.bodyaccelerometer..std...z
tGravityAcc-std()-X,summary.mean...time.gravityaccelerometer..std...x
tGravityAcc-std()-Y,summary.mean...time.gravityaccelerometer..std...y
tGravityAcc-std()-Z,summary.mean...time.gravityaccelerometer..std...z
tBodyAccJerk-std()-X,summary.mean...time.bodyaccelerometer.jerk.std...x
tBodyAccJerk-std()-Y,summary.mean...time.bodyaccelerometer.jerk.std...y
tBodyAccJerk-std()-Z,summary.mean...time.bodyaccelerometer.jerk.std...z
tBodyGyro-std()-X,summary.mean...time.bodygyroscope..std...x
tBodyGyro-std()-Y,summary.mean...time.bodygyroscope..std...y
tBodyGyro-std()-Z,summary.mean...time.bodygyroscope..std...z
tBodyGyroJerk-std()-X,summary.mean...time.bodygyroscope.jerk.std...x
tBodyGyroJerk-std()-Y,summary.mean...time.bodygyroscope.jerk.std...y
tBodyGyroJerk-std()-Z,summary.mean...time.bodygyroscope.jerk.std...z
tBodyAccMag-std(),summary.mean...time.bodyaccelerometer.magnitude..std..
tGravityAccMag-std(),summary.mean...time.gravityaccelerometer.magnitude..std..
tBodyAccJerkMag-std(),summary.mean...time.bodyaccelerometer.jerkmagnitude..std..
tBodyGyroMag-std(),summary.mean...time.bodygyroscope.magnitude..std..
tBodyGyroJerkMag-std(),summary.mean...time.bodygyroscope.jerkmagnitude..std..
fBodyAcc-std()-X,summary.mean...frequency.bodyaccelerometer..std...x
fBodyAcc-std()-Y,summary.mean...frequency.bodyaccelerometer..std...y
fBodyAcc-std()-Z,summary.mean...frequency.bodyaccelerometer..std...z
fBodyAccJerk-std()-X,summary.mean...frequency.bodyaccelerometer.jerk.std...x
fBodyAccJerk-std()-Y,summary.mean...frequency.bodyaccelerometer.jerk.std...y
fBodyAccJerk-std()-Z,summary.mean...frequency.bodyaccelerometer.jerk.std...z
fBodyGyro-std()-X,summary.mean...frequency.bodygyroscope..std...x
fBodyGyro-std()-Y,summary.mean...frequency.bodygyroscope..std...y
fBodyGyro-std()-Z,summary.mean...frequency.bodygyroscope..std...z
fBodyAccMag-std(),summary.mean...frequency.bodyaccelerometer.magnitude..std..
fBodyBodyAccJerkMag-std(),summary.mean...frequency.bodyaccelerometer.jerkmagnitude..std..
fBodyBodyGyroMag-std(),summary.mean...frequency.bodygyroscope.magnitude..std..
fBodyBodyGyroJerkMag-std(),summary.mean...frequency.bodygyroscope.jerkmagnitude..std..
